0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,year,half_year,lor,key
05,20,06,34,4429,164,217,91,285,682,493,741,1756,2309,465,2022,2,05200634,05200634-2022-2
05,30,07,35,3962,480,440,115,621,1406,406,318,176,1971,1072,2022,2,05300735,05300735-2022-2
05,30,07,36,3619,307,493,156,357,946,522,417,421,1817,902,2022,2,05300736,05300736-2022-2
05,30,07,37,11733,722,870,238,1132,3152,1349,1651,2619,6163,2891,2022,2,05300737,05300737-2022-2
05,30,08,38,32,0,0,0,0,7,7,18,0,6,19,2022,2,05300838,05300838-2022-2
05,30,08,39,7783,418,742,240,853,1981,1064,1070,1415,3897,2515,2022,2,05300839,05300839-2022-2
05,30,08,40,483,31,37,12,28,143,59,68,105,251,138,2022,2,05300840,05300840-2022-2
05,30,08,41,4644,290,354,103,575,1490,500,593,739,2234,1373,2022,2,05300841,05300841-2022-2
05,40,09,42,3793,170,294,112,308,602,461,669,1177,1910,409,2022,2,05400942,05400942-2022-2
05,40,09,43,10545,632,1267,409,769,1925,1553,1657,2333,5390,786,2022,2,05400943,05400943-2022-2
05,40,09,44,2217,99,185,65,144,312,243,354,815,1152,189,2022,2,05400944,05400944-2022-2
05,40,09,45,3672,169,349,113,233,516,434,605,1253,1898,274,2022,2,05400945,05400945-2022-2
06,10,01,01,6869,271,468,214,638,1372,821,1033,2052,3710,982,2022,2,06100101,06100101-2022-2
06,10,01,02,9124,503,700,175,910,2706,1076,1329,1725,4823,2145,2022,2,06100102,06100102-2022-2
06,10,01,03,6200,338,449,125,601,1751,853,901,1182,3348,1061,2022,2,06100103,06100103-2022-2
06,10,02,04,6866,327,443,160,764,1754,871,1023,1524,3589,1369,2022,2,06100204,06100204-2022-2
06,10,02,05,9998,592,738,198,1040,2732,1214,1483,2001,5220,1926,2022,2,06100205,06100205-2022-2
06,10,02,06,7734,368,541,181,736,1963,948,1118,1879,4158,1368,2022,2,06100206,06100206-2022-2
06,10,02,07,8124,456,527,177,831,2306,988,1079,1760,4255,1640,2022,2,06100207,06100207-2022-2
06,10,02,08,6964,365,467,117,717,1970,818,1018,1492,3558,1301,2022,2,06100208,06100208-2022-2
06,10,02,09,9349,515,674,169,847,2782,1188,1265,1909,5058,1987,2022,2,06100209,06100209-2022-2
06,10,02,10,4987,260,367,93,420,1416,620,778,1033,2646,889,2022,2,06100210,06100210-2022-2
06,20,03,11,4923,238,365,114,402,1005,612,728,1459,2625,642,2022,2,06200311,06200311-2022-2
06,20,03,12,6164,308,481,137,607,1352,730,817,1732,3174,1321,2022,2,06200312,06200312-2022-2
06,20,03,13,7383,410,521,124,709,2023,891,1084,1621,3936,1387,2022,2,06200313,06200313-2022-2
06,20,03,14,7176,400,529,138,644,1908,895,1088,1574,3761,1228,2022,2,06200314,06200314-2022-2
06,20,03,15,6687,434,588,157,624,1655,795,925,1509,3511,1194,2022,2,06200315,06200315-2022-2
