key,lor,year,month,hour,weekday,ac_category,ac_type,is_car,latitude,longitude,district_LOR3,district_LOR2,district,distance_to_CC
114455-2018-2500729,02500729,2018,5,8,2,seriously_injured,turn_in,False,52.51415887958329,13.471034847264892,025007,0250,02,4.472422911858107
114467-2018-3601245,03601245,2018,9,17,4,light_injured,other,True,52.54710594495769,13.428477927676978,036012,0360,03,3.473311336330981
114476-2018-2400625,02400625,2018,10,20,5,light_injured,other,False,52.50502441738181,13.448596874995728,024006,0240,02,3.312305316694642
114478-2018-3601141,03601141,2018,7,16,2,light_injured,other,False,52.54941987291403,13.413872855696274,036011,0360,03,3.412489903793066
114481-2018-2200209,02200209,2018,3,17,5,light_injured,other,False,52.49032595983116,13.386427605166489,022002,0220,02,3.4647537920225044
114482-2018-2500728,02500728,2018,5,16,4,light_injured,turn_in,True,52.51502077056352,13.461036143933388,025007,0250,02,3.7869836956421077
114486-2018-2500727,02500727,2018,9,17,6,light_injured,other,True,52.51586785450366,13.454210554229537,025007,0250,02,3.315782834794355
114487-2018-1300836,01300836,2018,8,21,5,light_injured,other,True,52.54102285452723,13.368479907972059,013008,0130,01,3.5049136813098083
114488-2018-2500727,02500727,2018,6,10,7,light_injured,other,True,52.51586785450366,13.454210554229537,025007,0250,02,3.315782834794355
114492-2018-7501133,07501133,2018,5,9,5,seriously_injured,other,False,52.42843548923033,13.39312153253846,075011,0750,07,10.131916776976597
114493-2018-11300725,11300725,2018,4,17,4,light_injured,turn_in,True,52.51157740271534,13.495100345214379,113007,1130,11,6.129874020845784
114495-2018-12100204,12100204,2018,9,8,6,light_injured,other,True,52.56842561456228,13.36182521580453,121002,1210,12,6.236541375007026
114496-2018-4200311,04200311,2018,9,19,6,light_injured,other,False,52.50987724988127,13.278482325048316,042003,0420,04,8.695791778234824
114504-2018-3601451,03601451,2018,9,9,1,light_injured,other,True,52.539738416486514,13.436959184935056,036014,0360,03,3.1227820098747836
114508-2018-2400625,02400625,2018,8,3,5,light_injured,other,False,52.50462522053877,13.44832930824269,024006,0240,02,3.317776862539392
114516-2018-1100310,01100310,2018,7,16,6,light_injured,other,True,52.52200440001379,13.416384430735777,011003,0110,01,0.7932748425037867
114517-2018-1100205,01100205,2018,5,13,7,light_injured,other,True,52.50984853058065,13.381699078625653,011002,0110,01,1.9291959008858437
114525-2018-9100101,09100101,2018,5,3,1,seriously_injured,other,True,52.491693005005146,13.45769749496814,091001,0910,09,4.672019329741947
114533-2018-1100311,01100311,2018,6,0,4,light_injured,other,True,52.52003962566511,13.42251409081505,011003,0110,01,1.1478511787830687
114536-2018-3601142,03601142,2018,12,18,7,light_injured,other,False,52.54104049342268,13.411966548161283,036011,0360,03,2.471571457000417
